Şəkil faylı,Bitki ID,Kataloqdakı cavab adı,Elmi/latın adı,Foto rolu,Mənbə,Mənbə faylı/səhifəsi,Orijinal foto etiketi,Müəllif,Lisenziya/istifadə statusu,Lisenziya linki,Kataloqdakı quiz statusu,Şəkildəki nümunə növ,Botaniki qeyd
plant-001.webp,PLT-001,Pittosporum,Pittosporum tobira,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Japanese_Cheesewood_--_Pittosporum_tobira.jpg,,Jim Evans,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Uyğundur,Pittosporum tobira,
plant-002.webp,PLT-002,Lavanda,Lavandula,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Lavandula_angustifolia_in_Sedovo_1.jpg,,Andrey Butko,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Uyğundur,Lavandula angustifolia,Kataloq adı daha genişdir; şəkildə bir nümunə növ göstərilir.
plant-003.webp,PLT-003,Sürünən rozmarin,Rosmarinus prostratus,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Salvia_rosmarinus_%27Prostratus%27_kz01.jpg,,"Krzysztof Ziarnek, Kenraiz",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Uyğundur,Salvia rosmarinus Prostratus,
plant-004.webp,PLT-004,Rozmarin,Rosmarinus,əsas foto,iNaturalist,https://www.inaturalist.org/observations/106603616,,no rights reserved,CC0,https://creativecommons.org/publicdomain/zero/1.0/,Uyğundur,Salvia rosmarinus,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-005.webp,PLT-005,Parthenocissus,Parthenocissus,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Parthenocissus_quinquefolia20190910_16476.jpg,,Bff,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Uyğundur,Parthenocissus quinquefolia,
plant-006.webp,PLT-006,Passifloraceae,Passifloraceae,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Passiflora_caerulea_-_two_flowers_2019-06-27.jpg,,Franz van Duns,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Şərti,Passiflora caerulea,Kataloq adı daha genişdir; şəkildə bir nümunə növ göstərilir.
plant-007.webp,PLT-007,Photinia,Photinia,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Photinia_fraseri_%27Red_Robin%27.jpg,,Homoarborea,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Uyğundur,Photinia × fraseri,
plant-008.webp,PLT-008,Elaeagnus,Elaeagnus,əsas foto,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Elaeagnus_ebbingei.jpg,,K. Thomas,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Uyğundur,Elaeagnus × ebbingei,
plant-009.webp,PLT-009,Berberis,Berberis,əsas foto,iNaturalist,https://www.inaturalist.org/observations/115046943,,no rights reserved,CC0,https://creativecommons.org/publicdomain/zero/1.0/,Uyğundur,Berberis thunbergii,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-010.webp,PLT-010,Dəfnə,Laurus nobilis,əsas foto,iNaturalist,https://www.inaturalist.org/observations/334613166,,"(c) zebedeugalinha, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Laurus nobilis,
plant-011.webp,PLT-011,Ligustrum,Ligustrum,əsas foto,iNaturalist,https://www.inaturalist.org/observations/38601677,,"(c) Takaaki Hattori, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Şərti,Ligustrum japonicum,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-012.webp,PLT-012,Sedum,Sedum,əsas foto,iNaturalist,https://www.inaturalist.org/observations/103945534,,"(c) Dmitriy Bochkov, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Sedum acre,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
plant-013.webp,PLT-013,Spartium,Spartium,əsas foto,iNaturalist,https://www.inaturalist.org/observations/249409457,,"(c) zebedeugalinha, some rights reserved (CC BY)",CC-BY,https://creativecommons.org/licenses/by/4.0/,Uyğundur,Spartium junceum,Kataloqda cins/ümumi ad var; şəkildə göstərilən növ nümunədir.
